,i,r̄,Mfac,rFac,f1,f2,f3,f4,pa,Sα,phaseAmplitude,t_char,rBLR,FHWM
118770,5,5,1,5,3,2,1,1,4,4,2,1,1,1
41898,4,4,4,5,3,2,5,3,4,4,2,3,4,1
110757,5,3,4,3,4,2,1,2,5,2,1,2,2,1
21957,5,1,1,1,5,3,1,1,3,1,1,1,1,3
25059,5,1,5,1,5,5,3,1,1,3,1,1,1,3
10724,3,1,5,1,3,1,1,5,3,5,1,1,1,3
67454,3,1,1,5,5,1,5,2,2,1,1,1,1,1
133553,1,2,3,4,3,5,5,4,2,5,1,1,1,1
72324,4,3,4,3,2,1,5,1,3,5,1,2,2,1
24088,5,1,3,3,5,5,5,3,1,5,1,1,1,3
124195,1,2,5,2,1,5,2,4,1,4,1,1,1,1
80995,2,5,4,5,4,1,3,4,5,1,1,3,4,1
65319,5,2,4,3,5,4,2,2,4,4,1,1,2,1
127219,4,2,2,3,4,1,4,2,4,1,1,1,1,1
67552,2,3,1,1,2,4,3,2,3,2,1,1,1,1
105570,3,5,2,3,5,4,3,3,2,1,1,2,2,1
52836,5,4,1,5,4,3,4,1,5,1,1,1,1,1
75796,5,1,1,1,5,4,5,1,3,5,1,1,1,2
105312,5,2,5,5,4,2,3,1,2,4,1,1,2,1
693,1,1,1,3,3,1,1,5,5,5,1,1,1,1
16528,3,3,5,5,3,1,3,5,3,1,2,2,3,1
54940,2,1,3,4,3,4,4,4,3,2,1,1,1,1
2563,1,1,3,3,5,5,3,3,3,5,1,1,1,1
37409,2,4,3,3,4,4,2,4,1,2,2,1,2,1
132402,1,2,5,5,5,4,1,4,2,2,1,1,2,1
32006,5,5,1,5,3,1,1,3,5,3,2,1,1,1
54282,3,5,2,4,5,4,2,2,4,3,3,1,2,1
