,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,ra,dec,u,g,r,i,z,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z,labels,class
148766,-0.0007921777,383.8023,378.7007,132.2649,241.5316,239.519992597884,52.5115886745509,17.48216,16.50722,16.14087,16.00827,16.01332,2.026495,1.759421,1.764812,1.682433,1.545901,0,STAR
547939,0.5321485,9.579906,15.4348,0.01679281,0.6441329,162.754377245112,1.74599678768242,24.92276,22.40436,20.89974,19.73106,19.47845,4.58393,1.464922,2.998733,2.686916,3.570329,0,GALAXY
1056187,1.223186,6.131808,6.521293,2.965466,3.871811,122.521030602264,29.7781516457066,20.89551,20.75302,20.46361,20.57461,20.35873,1.25459,1.096642,1.259912,0.9699737,1.023604,0,QSO
573031,0.0755624,103.1261,108.5761,18.79103,44.93848,161.112644520827,0.896571445296108,18.87457,17.98546,17.59306,17.11814,17.00541,2.335798,2.437536,2.334167,2.300848,18.11073,0,GALAXY
1217942,7.040438,3.78526,5.463182,-0.1765005,0.2399221,227.172791057101,44.3741185324884,24.68758,23.0657,21.54229,20.4815,19.82676,2.969626,2.97008,2.248036,1.481866,1.631546,0,QSO
237471,-0.0004542321,59.00916,61.72678,20.34967,38.93208,173.438533194292,43.8242763234537,19.35806,18.46365,18.20212,18.10495,18.06669,1.640553,1.827375,1.715352,1.399738,1.446903,0,STAR
639207,0.08501958,20.1169,21.74716,2.936979,7.862258,1.62447077237459,-0.512865693346861,19.63315,18.38433,17.73715,17.46349,17.25535,18.01605,6.368875,6.76375,6.337625,6.080828,0,GALAXY
306715,-0.0003414332,80.10446,76.91083,25.05964,54.86128,53.7162709880172,-0.261349261355951,19.07487,18.02325,17.62012,17.44132,17.36737,1.200798,1.178088,0.97031,0.8269445,1.081023,0,STAR
341600,-0.0002626523,464.5253,498.5524,49.64228,202.7841,271.724125043532,77.9060614765828,17.97161,16.47876,15.88841,15.64287,15.5374,1.740116,1.676551,1.641525,1.285037,15.0981,0,STAR
309426,-6.659365e-05,11.46431,20.64313,1.281899,2.379228,119.043702057914,24.2501547589321,24.05059,25.11444,21.90476,20.64591,19.72458,2.970261,2.970659,1.047121,1.024672,0.9536036,0,STAR
915083,0.09889974,170.7064,187.548,42.18636,58.52624,175.310998022567,5.99801525083296,17.84288,17.33124,16.76712,16.25923,16.09414,1.394762,2.278478,3.077435,3.018154,3.200849,0,QSO
100493,-0.0003752235,48.55707,49.26126,12.0205,27.7484,230.334318845007,52.5890042637524,19.95868,18.82492,18.42467,18.23667,18.17738,1.658368,1.605759,1.479761,1.500665,1.736369,0,STAR
258769,-0.0001882623,413.8747,429.7574,110.1795,236.9238,231.586054491871,7.89910703446009,17.76102,16.55245,16.12888,15.99073,15.93849,1.2311,1.177939,0.9874902,1.05681,1.200694,0,STAR
136080,-0.0003461033,96.61815,127.1021,3.468865,16.08057,8.75613918480946,-0.426193802533702,21.63634,19.44338,18.12846,17.52023,17.17178,1.714418,1.235704,0.9822734,0.9263228,1.090696,0,STAR
547994,0.09591585,56.97739,78.7205,4.535213,14.46431,160.07888203314,-0.688731834452726,20.20081,18.2765,17.34927,16.86719,16.47675,5.494621,5.558507,5.730762,5.647236,4.608523,0,GALAXY
971334,0.93279,6.712978,7.456391,6.175125,6.451023,122.873505797917,27.8991547718483,21.71482,21.28724,21.19786,21.26013,21.79812,1.197414,1.352352,1.263543,3.188525,0.6199752,0,QSO
803260,0.4533325,17.57527,26.17767,0.1291304,1.437433,248.226821008393,30.0496896639339,23.37699,21.42429,19.6126,18.85294,18.3584,0.0836132,2.970319,3.176507,3.397097,2.810113,0,GALAXY
771278,0.1355858,57.57671,74.29799,3.204957,14.61881,226.903750558078,38.6821400914108,21.01028,18.96207,17.91209,17.47867,17.15345,4.511804,5.90863,4.001699,4.802081,4.706924,0,GALAXY
1049829,1.71834,5.068287,4.970749,2.582823,3.572516,125.792664844163,26.1994738218796,21.55457,21.14948,21.03506,20.79566,20.57028,1.708666,1.654531,1.378586,1.120182,7.360004,0,QSO
649640,0.09520192,59.80028,67.97243,11.02449,26.50921,132.307102798707,35.0167034580272,18.82193,17.70866,17.22043,16.89742,16.73109,5.148348,5.079285,5.279169,5.061262,5.085524,0,GALAXY
1123209,1.209169,31.04298,30.07487,18.7183,22.14065,224.524832340275,39.3381263106639,19.07414,18.83146,18.67217,18.59901,18.53952,1.542039,1.389812,1.282797,1.13545,1.35326,0,QSO
1150922,0.8030353,2.104143,2.665207,0.9559041,1.831737,243.619119251745,35.7362605328428,21.89524,21.31009,21.21709,21.18384,20.78755,1.933745,1.51042,1.500901,1.396291,2.174332,0,QSO
833493,0.0448181,67.75565,88.9482,7.829288,20.62735,228.128852229605,7.11514199374849,18.93908,17.29185,16.50529,16.10731,15.8402,8.001692,7.46498,7.499987,7.595556,6.510728,0,GALAXY
838247,0.4619561,8.169098,12.25902,-0.05388368,0.7447431,229.814538700981,7.62886091713839,26.68185,21.93679,20.1299,19.33546,18.75534,2.970489,2.970203,2.709525,2.538048,3.169781,0,GALAXY
1222033,2.72878,17.24519,19.46257,8.26578,13.51446,17.3898937518247,11.8995015551515,20.87357,19.77704,19.67349,19.61179,19.48197,1.077734,1.215203,1.073532,0.9759353,0.9142092,0,QSO
726312,0.2748538,22.48866,30.62142,0.8811293,3.351101,232.423619188349,43.9227962922431,21.5705,19.52792,18.15808,17.59506,17.32365,11.30659,5.511349,6.143976,5.711967,4.548048,0,GALAXY
1054876,1.028524,19.93275,20.8692,22.73707,18.56524,134.596555457935,33.1232592220453,19.27189,19.21413,18.97797,19.1061,19.21049,13.60349,1.616095,1.467412,1.571774,1.788981,0,QSO
1081361,2.698476,2.301142,2.934126,1.18763,1.941647,170.203752374287,14.6070792036379,22.09067,20.80329,20.34152,20.75789,20.43597,3.262406,1.225963,1.023171,0.8565893,1.322713,0,QSO
623517,0.6118413,6.327018,10.72985,0.05692438,0.3228272,132.090655003922,37.8341059211439,22.54694,22.88902,20.70441,19.68367,19.24022,1.364654,2.969993,2.778511,2.09425,4.281224,0,GALAXY
1207162,2.165466,4.328823,5.376708,1.903311,3.20605,151.79471550177,32.8474238456728,22.11373,21.52893,21.65958,21.51241,21.26811,18.02087,1.7213,1.167546,1.413172,1.133785,0,QSO
556510,0.2592565,37.57804,53.58546,1.832794,4.764571,165.05456556714,6.21866194664541,23.0582,19.99888,18.44071,17.75891,17.3632,2.970601,4.432802,4.156498,3.860655,3.006526,0,GALAXY
485474,0.192753,47.67809,64.23667,2.78779,8.196198,123.173846165004,50.453623565392,20.89926,18.62166,17.35436,16.80776,16.44807,18.01912,5.07754,5.007615,5.035555,4.893399,0,GALAXY
496318,0.07310305,49.03899,57.47557,8.985946,18.37889,159.848222784949,5.06043498676096,19.32528,17.90423,17.30203,16.93357,16.68838,4.997157,5.817076,5.988369,5.55525,5.710564,0,GALAXY
