,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,ra,dec,u,g,r,i,z,labels,class
1395342,1.556844,2.074085,2.131223,0.9624372,1.236355,211.412700094162,30.0191468299308,22.37376,21.89607,21.9054,21.64781,21.26024,0,QSO
1114746,0.8948828,68.33518,74.56752,40.09843,50.82767,359.609032120068,1.17231808072546,19.3479,18.93964,18.66374,18.70164,18.62849,0,QSO
1034032,1.525948,5.37137,5.223049,3.67295,4.176315,256.022104747225,37.545709283249,22.26115,21.43889,21.22719,20.99033,21.11043,0,QSO
1359667,2.867229,1.659144,1.768502,1.227922,1.856172,218.125173860816,12.7601385795088,24.5084,21.74567,21.60836,21.55175,20.95332,0,QSO
53368,0.00087581,174.4373,171.5205,120.4825,179.074,176.035158044327,2.50947745203037,18.08874,16.90209,16.89363,16.93922,16.99567,0,STAR
1100263,3.171431,6.273131,6.231984,1.330324,3.964593,129.899688550499,41.9780183046036,23.99117,21.38818,21.00329,21.08744,20.8508,0,QSO
179984,-1.186671e-05,147.2368,162.0997,19.10483,66.19318,125.215946279569,33.6319743283718,19.49656,17.91805,17.28919,17.03837,16.92179,0,STAR
316612,-0.0001679507,446.1324,466.9726,72.11476,221.2233,252.830673116176,23.447321886158,18.18762,16.59347,16.04595,15.87676,15.69366,0,STAR
747344,0.5042943,8.893694,13.59382,0.03113053,0.8549757,229.174192400399,5.68059111190689,23.40923,21.83461,20.33456,19.45183,19.14596,0,GALAXY
1153118,1.098135,27.49864,24.47767,17.07405,21.10049,126.39228773904,38.8630779080251,19.06916,18.8417,18.50548,18.58471,18.79123,0,QSO
922029,0.330118,20.77184,28.94677,0.470612,2.484556,175.99621278572,30.7382950630839,21.57573,20.03268,18.42422,17.80474,17.4462,0,GALAXY
1244608,1.754408,3.322509,3.194542,3.046545,2.907221,191.451245742782,58.3985209156593,21.35426,21.06448,21.25152,21.10897,21.10441,0,QSO
1397655,1.072088,2.369154,3.247774,1.399864,1.5078,190.655718425465,40.698400021602,21.64781,21.51447,21.03029,20.91799,20.82543,0,QSO
838350,0.1005121,120.6719,161.3118,8.146279,30.59521,248.434314015134,32.585555719787,19.82054,17.92603,16.89168,16.45533,16.10102,0,GALAXY
719180,0.4267666,18.86242,27.14499,-0.04729693,1.290689,187.029816174126,52.1969532320752,23.62164,21.38156,19.68242,18.84956,18.37384,0,GALAXY
1177408,1.286142,13.35714,12.99481,8.766887,9.471436,155.845845053385,49.5301039970212,20.61493,20.81998,20.38555,20.46614,20.38069,0,QSO
91428,-2.676656e-05,4.286425,4.657175,1.433069,2.928971,138.958950260379,54.1544002430202,21.73701,21.44007,21.24061,21.01033,20.5895,0,STAR
296449,-0.0003557716,35.30414,35.56979,11.74015,20.49486,230.328452260202,7.77511187926977,20.10294,19.1504,18.75989,18.61971,18.52909,0,STAR
1110969,1.754643,7.252328,7.791277,2.605319,3.775043,139.886529717824,42.4812819066652,20.70496,20.27057,20.02021,19.60988,19.5105,0,QSO
30653,4.498203e-05,219.4314,252.8043,3.792416,52.53703,242.795954552384,49.8255377244543,20.83417,18.18349,17.0443,16.64519,16.42173,0,STAR
104161,0.0001158949,687.3667,660.2272,314.6959,585.8992,114.987774198141,30.9120606911303,16.57277,15.48048,15.36766,15.37981,15.43525,0,STAR
940528,0.2742566,39.95596,57.07401,1.260328,5.59544,229.855960476174,7.91732230044323,21.13994,19.62933,18.13717,17.56934,17.16517,0,GALAXY
1282769,1.90636,8.373482,8.737728,6.483788,6.155214,194.503699351505,43.9211954137972,20.35675,20.31912,20.36082,20.02424,20.04284,0,QSO
1075199,2.439616,2.687619,3.725436,1.756912,2.626414,149.937114958058,55.9771451443393,22.44602,21.56303,21.52695,21.49742,21.11075,0,QSO
615060,0.5804227,11.55589,18.70087,-0.08750205,0.7406932,150.921004299237,50.3800030396308,22.71873,21.62296,20.0589,18.94484,18.39186,0,GALAXY
170641,1.616909e-05,4.583523,8.370304,0.01129121,0.2711725,153.719080170369,54.2957635250277,23.79104,23.41686,21.84354,20.80177,20.29144,0,STAR
1410130,0.7727985,4.384425,6.811455,0.4905922,2.383853,237.611494578519,16.9945890452385,21.68589,21.04776,20.73414,20.80594,20.17889,0,QSO
1238050,1.884913,5.780296,6.172399,3.664953,4.439247,135.948562868736,31.560633474272,20.69099,20.72285,20.82906,20.4684,20.26237,0,QSO
11090,4.01441e-05,32.832,32.3229,10.41285,19.50782,199.097741781179,-0.706309326145143,20.16228,19.11832,18.77032,18.62971,18.56571,0,STAR
68856,0.0006850567,676.8647,690.1328,236.8384,441.5696,44.4641453096846,-7.62236610665531,16.92983,15.92726,15.60161,15.47201,15.46045,0,STAR
455404,-0.0001003151,12.47079,14.35227,0.7704434,3.342743,242.281864286263,20.8319769297707,24.07462,20.88284,20.14427,19.79536,19.65874,0,STAR
615468,0.4852392,10.40923,16.30992,0.05064233,0.7739627,157.294445790809,5.11334038574085,23.5273,21.94373,20.1096,19.22638,18.72496,0,GALAXY
651032,0.5764731,6.797624,10.82141,0.1822196,0.6391346,242.209021688902,38.3996820938567,22.71088,21.8949,20.43971,19.47283,19.11662,0,GALAXY
257745,0.001037404,2.13684,2.955259,0.3569636,0.7997097,133.097192394657,32.4450499778626,21.38967,22.76633,20.9236,20.47029,20.06232,0,STAR
250723,7.166208e-05,2.567352,2.079608,0.8495247,1.77031,193.458155284229,9.52116187856055,25.17921,21.49302,21.08166,20.95242,21.19889,0,STAR
311566,-0.000562346,4.201338,10.58265,0.04084029,0.1261832,214.998573282438,45.0172360780541,25.36965,24.0549,22.69803,20.99954,19.90131,0,STAR
1249832,2.290182,2.751338,3.838911,1.334925,2.46839,187.440654996976,13.4889906450897,22.10546,21.10445,21.29859,21.40925,20.79393,0,QSO
1222182,2.638054,45.54192,52.14165,26.14168,37.62808,130.807459897524,33.6505111562904,19.15399,18.35705,18.14378,18.03198,17.94866,0,QSO
483344,-0.0005248986,68.50572,70.5386,29.91133,55.0649,235.762025655092,36.5435637221006,19.37871,18.09417,17.85496,17.76258,17.71733,0,STAR
1160069,0.4636305,10.73105,13.06219,2.209037,2.956899,214.408861085785,56.1535834809702,20.90665,20.83809,20.17831,19.47906,19.27139,0,QSO
298135,-0.0009338846,66.14588,65.08934,27.25602,49.84853,182.08573394323,54.1302273693162,19.16258,18.23236,17.97177,17.89039,17.91107,0,STAR
4971,0.0003219511,20.43284,21.36497,2.615802,8.496418,223.650911072369,-1.21968227361525,21.42526,20.00723,19.42579,19.19319,19.03218,0,STAR
931035,0.1395618,46.94242,61.21038,4.190706,12.78945,229.208351241644,39.159511842298,19.26601,17.95407,17.18087,16.78631,16.48957,0,GALAXY
1103573,1.93248,6.620283,7.430431,3.693509,3.737077,125.748297421078,32.0296331727112,22.26002,21.9238,21.45343,20.82949,20.6055,0,QSO
129717,0.0001260859,80.97169,80.34621,51.34972,62.58114,201.6459710064,5.06783729246766,18.65906,18.04053,17.8055,17.74726,17.75845,0,STAR
3345,-0.0001755709,7.336497,8.84783,1.622134,3.463839,236.176520201442,-0.505943566501696,23.18192,19.50302,20.4943,19.2924,23.07872,0,STAR
