,class,redshift,spectroSynFlux_i,spectroSynFlux_z,spectroSynFlux_u,spectroSynFlux_g,u,g,r,i,z
1334452,GALAXY,0.358523,24.48807,32.92249,0.4914836,2.418318,21.87931,20.04601,18.28256,17.57622,17.19584
1139840,GALAXY,0.5306357,6.743474,10.2439,-0.01495528,0.5415775,22.87671,22.93871,20.77071,19.83182,19.37568
208618,QSO,1.50038,4.067963,4.060423,2.804492,2.462682,21.99212,22.08953,21.73806,21.73108,21.55307
745720,STAR,-0.0005427562,32.74176,34.93901,5.919397,15.65782,20.70182,19.4813,18.94007,18.76004,18.6744
1058800,GALAXY,0.1447221,72.33538,91.61716,9.29552,23.85558,19.44485,18.13131,17.37767,17.00216,16.74222
1296697,GALAXY,0.4695133,9.961026,16.24252,-0.08428083,0.5760035,24.05382,22.68571,20.54547,19.63588,19.26292
1026734,GALAXY,0.668431,9.880346,15.24138,0.1428077,0.6386032,25.65196,22.80368,20.99405,19.83373,19.41417
787355,STAR,-0.0001047551,302.3703,352.1444,7.846669,69.3904,20.34444,17.8105,16.69347,16.26133,16.0231
462493,QSO,2.496745,2.558557,3.456204,1.696899,1.960033,22.18065,21.40052,21.02048,21.10651,20.55857
464556,QSO,1.824319,15.82347,15.45646,6.235296,10.70787,20.02365,19.89048,19.84986,19.56188,19.56548
696726,STAR,-0.0002030204,157.5035,160.7231,43.31401,93.64369,18.673,17.57483,17.16796,17.02923,16.98252
1083068,GALAXY,0.5786108,8.722669,13.85381,-0.03606607,0.4709864,23.93996,22.04267,20.28819,19.2042,18.68404
1200986,GALAXY,0.4031422,11.18934,15.84691,0.3986319,1.456875,25.50548,21.44592,19.58976,18.93976,18.44209
147089,QSO,2.594832,3.425017,3.762682,2.312701,3.466721,21.99377,21.23017,21.16827,21.22032,21.21152
69187,QSO,2.186085,8.266,10.26621,5.308053,7.116144,20.81078,20.41874,20.32887,20.21939,19.94719
1017992,GALAXY,0.4357527,13.01449,19.15283,0.2162361,1.331897,25.6066,21.40708,19.57243,18.81877,18.4421
159458,QSO,2.140158,15.93822,20.73073,24.51524,12.95464,20.07447,19.83314,19.73924,19.64269,19.4597
3803,QSO,1.523448,3.469845,4.344032,1.451566,1.527319,21.78004,21.51064,21.1364,20.7593,20.75645
527716,STAR,0.0002737473,113.7961,217.7952,16.23726,30.8923,19.28568,18.75487,18.34564,17.35424,16.66202
455653,QSO,2.234735,4.034487,4.389102,2.915424,4.186796,21.60881,20.94173,20.76932,20.7732,20.25428
1425193,GALAXY,0.6126564,4.052392,6.640175,-0.06078269,0.1274495,25.97052,23.68629,21.9673,20.72592,19.99999
148753,QSO,0.6930031,1.989688,2.355789,1.572443,1.981413,21.50714,20.99816,20.92931,20.87529,20.30352
448473,QSO,1.737239,4.118035,3.671272,2.186409,3.700137,20.87922,20.77767,20.82379,20.54469,20.76492
598890,STAR,-9.030262e-05,9.103377,13.67092,0.8407865,2.106423,23.76372,23.50497,21.94705,20.822,19.89198
185925,QSO,1.823909,9.162896,10.46511,7.069891,7.776245,20.86794,20.58135,20.49065,20.2465,20.19416
452542,QSO,1.135411,51.45472,50.19354,47.64437,47.12233,18.62537,18.28336,18.11404,18.16533,18.27289
196858,QSO,1.572673,2.237201,2.092556,0.9397714,1.24976,21.83396,21.60644,21.49255,21.40282,20.54463
767545,STAR,-7.684906e-05,2.533778,15.43988,0.04869004,-0.01993904,23.947,25.07604,23.86445,21.56722,19.75554
968928,STAR,-0.0003559653,72.7769,75.22694,22.12345,45.25476,19.14861,18.28587,17.94242,17.78965,17.72338
